Tahun,Bulan,IHK(indeks harga konsumen),pendapatan perkapita ( juta rupiah ),Harga Gula (rupiah),permintaan (ton),jumlah penduduk (jiwa),jumlah produksi (juta ton)
2018,januari,131.81,34100000,11650,79111,3802872,117111
,februari,131.81,34100000,11750,79111,3802872,117111
,maret ,131.81,34100000,11750,79111,3802872,117111
,april,131.81,34100000,11950,79111,3802872,117111
,mei,131.81,34100000,12000,79111,3802872,117111
,juni,131.81,34100000,11950,79111,3802872,117111
,juli,131.81,34100000,11750,79111,3802872,117111
,agustus,131.81,34100000,11650,79111,3802872,117111
,september,131.81,34100000,11400,79111,3802872,117111
,oktober,131.81,34100000,11200,79111,3802872,117111
,november,131.81,34100000,11100,79111,3802872,117111
,desember,131.81,34100000,10900,79111,3802872,117111
2019,januari,135.46,36700000,10900,10411,3842932,220000
,februari,135.46,36700000,10950,10411,3842932,220000
,maret ,135.46,36700000,11200,10411,3842932,220000
,april,135.46,36700000,11700,10411,3842932,220000
,mei,135.46,36700000,12650,10411,3842932,220000
,juni,135.46,36700000,12750,10411,3842932,220000
,juli,135.46,36700000,12600,10411,3842932,220000
,agustus,135.46,36700000,12200,10411,3842932,220000
,september,135.46,36700000,12000,10411,3842932,220000
,oktober,135.46,36700000,12100,10411,3842932,220000
,november,135.46,36700000,12250,10411,3842932,220000
,desember,135.46,36700000,12450,10411,3842932,220000
2020,januari,106.1,35600000,13350,97111,3882288,213333
,februari,106.1,35600000,13950,97111,3882288,213333
,maret ,106.1,35600000,16450,97111,3882288,213333
,april,106.1,35600000,17600,97111,3882288,213333
,mei,106.1,35600000,15850,97111,3882288,213333
,juni,106.1,35600000,14300,97111,3882288,213333
,juli,106.1,35600000,13400,97111,3882288,213333
,agustus,106.1,35600000,13400,97111,3882288,213333
,september,106.1,35600000,13250,97111,3882288,213333
,oktober,106.1,35600000,12900,97111,3882288,213333
,november,106.1,35600000,12800,97111,3882288,213333
,desember,106.1,35600000,12850,97111,3882288,213333
